key,shape,dtype,numel
blocks.6.0.bn3.running_mean,"(320,)",float32,320
blocks.6.0.bn3.running_var,"(320,)",float32,320
blocks.6.0.bn3.weight,"(320,)",float32,320
blocks.6.0.conv_dw.weight,"(960, 1, 3, 3)",float32,8640
blocks.6.0.conv_pw.weight,"(960, 160, 1, 1)",float32,153600
blocks.6.0.conv_pwl.weight,"(320, 960, 1, 1)",float32,307200
bn1.bias,"(32,)",float32,32
bn1.num_batches_tracked,(),int64,1
bn1.running_mean,"(32,)",float32,32
bn1.running_var,"(32,)",float32,32
bn1.weight,"(32,)",float32,32
bn2.bias,"(1280,)",float32,1280
bn2.num_batches_tracked,(),int64,1
bn2.running_mean,"(1280,)",float32,1280
bn2.running_var,"(1280,)",float32,1280
bn2.weight,"(1280,)",float32,1280
classifier.bias,"(1000,)",float32,1000
classifier.weight,"(1000, 1280)",float32,1280000
conv_head.weight,"(1280, 320, 1, 1)",float32,409600
conv_stem.weight,"(32, 3, 3, 3)",float32,864
