src_key,dst_key
blocks.4.0.bn1.weight,
blocks.4.0.bn2.bias,
blocks.4.0.bn2.num_batches_tracked,
blocks.4.0.bn2.running_mean,
blocks.4.0.bn2.running_var,
blocks.4.0.bn2.weight,
blocks.4.0.bn3.bias,
blocks.4.0.bn3.num_batches_tracked,
blocks.4.0.bn3.running_mean,
blocks.4.0.bn3.running_var,
blocks.4.0.bn3.weight,
blocks.4.0.conv_dw.weight,
blocks.4.0.conv_pw.weight,
blocks.4.0.conv_pwl.weight,
blocks.4.1.bn1.bias,
blocks.4.1.bn1.num_batches_tracked,
blocks.4.1.bn1.running_mean,
blocks.4.1.bn1.running_var,
blocks.4.1.bn1.weight,
blocks.4.1.bn2.bias,
blocks.4.1.bn2.num_batches_tracked,
blocks.4.1.bn2.running_mean,
blocks.4.1.bn2.running_var,
blocks.4.1.bn2.weight,
blocks.4.1.bn3.bias,
blocks.4.1.bn3.num_batches_tracked,
blocks.4.1.bn3.running_mean,
blocks.4.1.bn3.running_var,
blocks.4.1.bn3.weight,
blocks.4.1.conv_dw.weight,
blocks.4.1.conv_pw.weight,
blocks.4.1.conv_pwl.weight,
blocks.4.2.bn1.bias,
blocks.4.2.bn1.num_batches_tracked,
blocks.4.2.bn1.running_mean,
blocks.4.2.bn1.running_var,
blocks.4.2.bn1.weight,
blocks.4.2.bn2.bias,
blocks.4.2.bn2.num_batches_tracked,
blocks.4.2.bn2.running_mean,
blocks.4.2.bn2.running_var,
blocks.4.2.bn2.weight,
blocks.4.2.bn3.bias,
blocks.4.2.bn3.num_batches_tracked,
blocks.4.2.bn3.running_mean,
blocks.4.2.bn3.running_var,
blocks.4.2.bn3.weight,
blocks.4.2.conv_dw.weight,
blocks.4.2.conv_pw.weight,
blocks.4.2.conv_pwl.weight,
blocks.5.0.bn1.bias,
blocks.5.0.bn1.num_batches_tracked,
blocks.5.0.bn1.running_mean,
blocks.5.0.bn1.running_var,
blocks.5.0.bn1.weight,
blocks.5.0.bn2.bias,
blocks.5.0.bn2.num_batches_tracked,
blocks.5.0.bn2.running_mean,
blocks.5.0.bn2.running_var,
blocks.5.0.bn2.weight,
blocks.5.0.bn3.bias,
blocks.5.0.bn3.num_batches_tracked,
blocks.5.0.bn3.running_mean,
blocks.5.0.bn3.running_var,
blocks.5.0.bn3.weight,
blocks.5.0.conv_dw.weight,
blocks.5.0.conv_pw.weight,
blocks.5.0.conv_pwl.weight,
blocks.5.1.bn1.bias,
blocks.5.1.bn1.num_batches_tracked,
blocks.5.1.bn1.running_mean,
blocks.5.1.bn1.running_var,
blocks.5.1.bn1.weight,
blocks.5.1.bn2.bias,
blocks.5.1.bn2.num_batches_tracked,
blocks.5.1.bn2.running_mean,
blocks.5.1.bn2.running_var,
blocks.5.1.bn2.weight,
blocks.5.1.bn3.bias,
blocks.5.1.bn3.num_batches_tracked,
blocks.5.1.bn3.running_mean,
blocks.5.1.bn3.running_var,
